date,year,month,day,lag_1,lag_2,lag_3,rolling_mean
2022-04-04,2022,4,4,-0.0212608257739908,-0.014697632053181753,-0.03429149364079764,-0.0061826780013287674
2022-04-05,2022,4,5,0.02396921641980132,-0.0212608257739908,-0.014697632053181753,-0.019984739070090372
2022-04-06,2022,4,6,-0.053642960302282994,0.02396921641980132,-0.0212608257739908,-0.025240279389684074
2022-04-07,2022,4,7,-0.06056919523876614,-0.053642960302282994,0.02396921641980132,-0.023938111961373743
2022-04-08,2022,4,8,-0.008186794911630102,-0.06056919523876614,-0.053642960302282994,-0.028891626161897044
2022-04-11,2022,4,11,-0.046028396776607305,-0.008186794911630102,-0.06056919523876614,-0.04436390640348673
2022-04-12,2022,4,12,-0.05339218478814711,-0.046028396776607305,-0.008186794911630102,-0.037440040780300346
2022-04-13,2022,4,13,-0.019023632186351058,-0.05339218478814711,-0.046028396776607305,-0.018928516899590252
2022-04-14,2022,4,14,0.03198842416478431,-0.019023632186351058,-0.05339218478814711,-0.025989979354897663
2022-04-18,2022,4,18,-0.04349410718816715,0.03198842416478431,-0.019023632186351058,-0.011904975067318357
2022-04-19,2022,4,19,0.024396624661289223,-0.04349410718816715,0.03198842416478431,0.002547921924503349
2022-04-20,2022,4,20,0.01887230017096142,0.024396624661289223,-0.04349410718816715,-0.0002047118691694827
2022-04-21,2022,4,21,-0.03278680115471522,0.01887230017096142,0.024396624661289223,-0.01907733622654595
2022-04-22,2022,4,22,-0.06237469762209802,-0.03278680115471522,0.01887230017096142,-0.017109979695759316
2022-04-25,2022,4,25,-0.03365732453423398,-0.06237469762209802,-0.03278680115471522,-0.018061928367235323
2022-04-26,2022,4,26,0.01963688130390917,-0.03365732453423398,-0.06237469762209802,-0.033356763763552434
2022-04-27,2022,4,27,-0.05760187681062412,0.01963688130390917,-0.03365732453423398,-0.03080995837989393
2022-04-28,2022,4,28,-0.02005277423642271,-0.05760187681062412,0.01963688130390917,-0.004013656279902911
2022-04-29,2022,4,29,0.07160681287785708,-0.02005277423642271,-0.05760187681062412,-0.01017505414645381
2022-05-02,2022,5,2,-0.06446431386698848,0.07160681287785708,-0.02005277423642271,-0.0037429718608943396
2022-05-03,2022,5,3,0.051797292731706523,-0.06446431386698848,0.07160681287785708,0.008482638282185206
2022-05-04,2022,5,4,0.0035261739047736107,0.051797292731706523,-0.06446431386698848,0.019825748845953405
2022-05-05,2022,5,5,0.03666277858241829,0.0035261739047736107,0.051797292731706523,-0.009715571788232857
2022-05-06,2022,5,6,-0.07609979029307423,0.03666277858241829,0.0035261739047736107,0.001375518308214918
2022-05-09,2022,5,9,-0.0090088633847496,-0.07609979029307423,0.03666277858241829,-0.02836750250367164
2022-05-10,2022,5,10,-0.09691781132772626,-0.0090088633847496,-0.07609979029307423,-0.021603366702451155
2022-05-11,2022,5,11,0.03734685291087603,-0.09691781132772626,-0.0090088633847496,-0.04021722022067555
2022-05-12,2022,5,12,-0.05640648900870371,0.03734685291087603,-0.09691781132772626,-0.03054555206619325
2022-05-13,2022,5,13,-0.02774144952066271,-0.05640648900870371,0.03734685291087603,-0.010656432061949061
2022-05-16,2022,5,16,0.09043673663647134,-0.02774144952066271,-0.05640648900870371,0.003671105228548477
2022-05-17,2022,5,17,-0.025280124875238563,0.09043673663647134,-0.02774144952066271,0.0065084658801635165
2022-05-18,2022,5,18,0.051533656168951225,-0.025280124875238563,0.09043673663647134,0.0036702719088190783
2022-05-19,2022,5,19,-0.0705974588654259,0.051533656168951225,-0.025280124875238563,0.011402845428459507
2022-05-20,2022,5,20,0.010921418077539435,-0.0705974588654259,0.051533656168951225,-0.011770828360523655
2022-05-23,2022,5,23,-0.025431632308444474,0.010921418077539435,-0.0705974588654259,-0.004285618161803573
2022-05-24,2022,5,24,0.01214592611836185,-0.025431632308444474,0.010921418077539435,-0.023597881138172915
2022-05-25,2022,5,25,-0.04502765871289549,0.01214592611836185,-0.025431632308444474,0.0004364187266599373
2022-05-26,2022,5,26,0.049574040458738367,-0.04502765871289549,0.01214592611836185,0.008315699860264748
2022-05-27,2022,5,27,0.050317823745563484,0.049574040458738367,-0.04502765871289549,0.023878492172138353
2022-05-31,2022,5,31,0.052382329250923565,0.050317823745563484,0.049574040458738367,0.019965961754106854
2022-06-01,2022,6,1,-0.007416725971795657,0.052382329250923565,0.050317823745563484,0.02516513742589055
2022-06-02,2022,6,2,-0.019031780353977013,-0.007416725971795657,0.052382329250923565,0.02867591508907106
2022-06-03,2022,6,3,0.06712792877464091,-0.019031780353977013,-0.007416725971795657,0.00950658294137945
2022-06-06,2022,6,6,-0.04552883699289456,0.06712792877464091,-0.019031780353977013,-0.0002659949409051343
2022-06-07,2022,6,7,0.0035194398395006488,-0.04552883699289456,0.06712792877464091,0.0027023093174562084
2022-06-08,2022,6,8,0.007424795320011057,0.0035194398395006488,-0.04552883699289456,0.00354911952068937
2022-06-09,2022,6,9,-0.014797729337811205,0.007424795320011057,0.0035194398395006488,-0.016417275489375792
2022-06-10,2022,6,10,-0.032704046275684906,-0.014797729337811205,0.007424795320011057,-0.019581923597237604
2022-06-13,2022,6,13,-0.06135207753220362,-0.032704046275684906,-0.014797729337811205,-0.03656652977957222
2022-06-14,2022,6,14,-0.08140359107217243,-0.06135207753220362,-0.032704046275684906,-0.035650162468464155
2022-06-15,2022,6,15,0.012006631875551399,-0.08140359107217243,-0.06135207753220362,-0.024148701436255048
2022-06-16,2022,6,16,0.042709575823234314,0.012006631875551399,-0.08140359107217243,-0.029139977981856014
2022-06-17,2022,6,17,-0.05766042900368973,0.042709575823234314,0.012006631875551399,-0.013324470671575828
2022-06-21,2022,6,21,0.01772545901919731,-0.05766042900368973,0.042709575823234314,0.011414635188735645
